1917,0,0,0,0,0,0,0.8291347,0.34709635,1.28869832,0.74377984,0.54854017,1.31719589,0.64048874,0.97969532,0.79378974,1.41665053,0,0,0,0,0,0,0,53:00.0,0,0,,,,,,,,,,,,,,,,,,
1918,0,0,0,0,0,0,0.8051579,0.33307678,1.23978221,0.71401048,0.5118503,1.24119735,0.57215875,0.97578502,0.73163772,1.37124431,0,0,0,0,0,0,0,53:00.0,0,0,,,,,,,,,,,,,,,,,,
1919,0,0,0,0,0,0,0.88549548,0.38084263,1.34223318,0.76776201,0.55926299,1.33825278,0.69762498,1.009987,0.83214909,1.45439065,0,0,0,0,0,0,0,53:01.0,0,0,,,,,,,,,,,,,,,,,,
1920,0,0,0,0,0,0,0.90906596,0.37720376,1.32232857,0.74598813,0.55181265,1.29001451,0.63384539,0.98376876,0.77498156,1.45209062,0,0,0,0,0,0,0,53:01.0,0,0,,,,,,,,,,,,,,,,,,
1921,0,0,0,0,0,0,0.88857555,0.34118614,1.25885904,0.70403939,0.52024287,1.20224583,0.55959028,0.95517075,0.70117933,1.39829636,0,0,0,0,0,0,0,53:01.0,0,0,,,,,,,,,,,,,,,,,,
1922,0,0,0,0,0,0,0.94112813,0.39833438,1.38361955,0.74202549,0.56328028,1.31961501,0.67129481,1.03850424,0.78775173,1.48831463,0,0,0,0,0,0,0,53:01.0,0,0,,,,,,,,,,,,,,,,,,
1923,0,0,0,0,0,0,0.97281104,0.40247041,1.35415602,0.730492,0.56000322,1.26406968,0.62403941,1.02172899,0.74262738,1.46516275,0,0,0,0,0,0,0,53:01.0,0,0,,,,,,,,,,,,,,,,,,
1924,0,0,0,0,0,0,0.95849478,0.37946016,1.30243337,0.67039472,0.54929978,1.21108115,0.52480334,1.00242031,0.66311878,1.42659605,0,0,0,0,0,0,1,53:02.0,0,0,,,,,,,,,,,,,,,,,,
1925,0,0,0,0,0,0,0.97622967,0.38758135,1.36675918,0.69451594,0.59219855,1.31141019,0.64835316,1.07370913,0.75856239,1.48355961,0,0,0,0,0,0,1,53:02.0,0,0,,,,,,,,,,,,,,,,,,
1926,0,0,0,0,0,0,0.97628939,0.40846542,1.33154643,0.69909662,0.59718335,1.27037203,0.61762881,1.0368849,0.73372185,1.42706776,0,0,0,0,0,0,1,53:02.0,0,0,,,,,,,,,,,,,,,,,,
1927,0,0,0,0,0,0,0.94424021,0.38276044,1.26736963,0.65846908,0.58009571,1.21265459,0.56104159,1.06992579,0.68185419,1.39099491,0,0,0,0,0,0,1,53:02.0,0,0,,,,,,,,,,,,,,,,,,
1928,0,0,0,0,0,0,0.98052627,0.3992734,1.35526848,0.70572424,0.62134296,1.31166029,0.71744972,1.10715306,0.803029,1.44681025,0,0,0,0,0,0,1,53:02.0,0,0,,,,,,,,,,,,,,,,,,
1929,0,0,0,0,0,0,0.97621173,0.41600677,1.32346404,0.72099924,0.634947,1.29269874,0.69700825,1.12127113,0.77700591,1.40547764,0,0,0,0,0,0,1,53:03.0,0,0,,,,,,,,,,,,,,,,,,
